complaint_text,category
The lecturer explains topics too fast and does not ensure students understand core concepts,Faculty
Faculty rarely responds to emails which makes it hard to clarify doubts before exams,Faculty
The instructor shows favoritism during class discussions and ignores questions from many students,Faculty
Course material is outdated and teacher refuses to update examples according to current syllabus,Faculty
The professor is often absent and classes are cancelled without prior notice,Faculty
Teacher gives unclear instructions for assignments which causes confusion among the entire class,Faculty
Grading criteria is not explained and marks feel inconsistent across different students,Faculty
Faculty member discourages questions and makes students uncomfortable during lectures,Faculty
The instructor lacks practical examples and only reads slides during every lecture,Faculty
Teacher does not provide proper feedback on quizzes or assignments for improvement,Faculty
Faculty arrives late regularly which reduces actual teaching time for students,Faculty
The lecturer uses complex language that is difficult for beginners to understand,Faculty
Teacher does not complete the syllabus within the scheduled semester duration,Faculty
Faculty refuses to provide extra guidance despite multiple student requests,Faculty
The professor does not align lectures with recommended course textbook,Faculty
Teacher communication style is rude and demotivating during classroom interactions,Faculty
Faculty rarely holds office hours making academic support inaccessible,Faculty
The instructor changes grading rules midway through the semester without explanation,Faculty
Teacher focuses only on theory and ignores practical understanding completely,Faculty
Faculty does not encourage participation and dismisses student opinions quickly,Faculty
Lectures are poorly structured which makes topics hard to follow sequentially,Faculty
Faculty lacks subject mastery and struggles to answer basic student questions,Faculty
Teacher assigns excessive workload without considering other course pressures,Faculty
The instructor does not upload lecture slides or resources on time,Faculty
Faculty ignores curriculum guidelines and teaches irrelevant topics frequently,Faculty
Teacher provides vague exam preparation guidance leaving students confused,Faculty
Faculty feedback is generic and does not help improve academic performance,Faculty
The lecturer fails to explain assessment rubrics clearly before submissions,Faculty
Teacher cancels doubt sessions frequently without rescheduling alternatives,Faculty
Faculty does not coordinate well with teaching assistants during the course,Faculty
The instructor discourages group discussions during lectures unnecessarily,Faculty
Teacher does not revise previous topics before introducing new concepts,Faculty
Faculty shows lack of enthusiasm which affects student motivation significantly,Faculty
The lecturer avoids answering emails regarding grading concerns,Faculty
Teacher frequently digresses from topic wasting valuable lecture time,Faculty
Faculty does not provide real world applications of theoretical concepts,Faculty
The instructor speaks very softly making it hard to hear lectures,Faculty
Teacher rarely checks student understanding during class sessions,Faculty
Faculty does not return graded assignments within a reasonable timeframe,Faculty
The lecturer ignores student feedback shared through course evaluations,Faculty
Teacher is unapproachable and discourages academic discussion outside class,Faculty
